Date_rep,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,India,0,0,0,0
2020-01-04,India,0,0,0,0
2020-01-05,India,0,0,0,0
2020-01-06,India,0,0,0,0
2020-01-07,India,0,0,0,0
2020-01-08,India,0,0,0,0
2020-01-09,India,0,0,0,0
2020-01-10,India,0,0,0,0
2020-01-11,India,0,0,0,0
2020-01-12,India,0,0,0,0
2020-01-13,India,0,0,0,0
2020-01-14,India,0,0,0,0
2020-01-15,India,0,0,0,0
2020-01-16,India,0,0,0,0
2020-01-17,India,0,0,0,0
2020-01-18,India,0,0,0,0
2020-01-19,India,0,0,0,0
2020-01-20,India,0,0,0,0
2020-01-21,India,0,0,0,0
2020-01-22,India,0,0,0,0
2020-01-23,India,0,0,0,0
2020-01-24,India,0,0,0,0
2020-01-25,India,0,0,0,0
2020-01-26,India,0,0,0,0
2020-01-27,India,0,0,0,0
2020-01-28,India,0,0,0,0
2020-01-29,India,0,0,0,0
2020-01-30,India,1,1,0,0
2020-01-31,India,4,5,0,0
2020-02-01,India,0,5,0,0
2020-02-02,India,-3,2,0,0
2020-02-03,India,1,3,0,0
2020-02-04,India,4,7,0,0
2020-02-05,India,0,7,0,0
2020-02-06,India,0,7,0,0
2020-02-07,India,0,7,0,0
2020-02-08,India,0,7,0,0
2020-02-09,India,0,7,0,0
2020-02-10,India,0,7,0,0
2020-02-11,India,0,7,0,0
2020-02-12,India,0,7,0,0
2020-02-13,India,0,7,0,0
2020-02-14,India,0,7,0,0
2020-02-15,India,0,7,0,0
2020-02-16,India,0,7,0,0
2020-02-17,India,0,7,0,0
2020-02-18,India,0,7,0,0
2020-02-19,India,0,7,0,0
2020-02-20,India,0,7,0,0
2020-02-21,India,0,7,0,0
2020-02-22,India,0,7,0,0
2020-02-23,India,0,7,0,0
2020-02-24,India,0,7,0,0
2020-02-25,India,0,7,0,0
2020-02-26,India,0,7,0,0
2020-02-27,India,0,7,0,0
2020-02-28,India,0,7,0,0
2020-02-29,India,0,7,0,0
2020-03-01,India,0,7,0,0
2020-03-02,India,-2,5,0,0
2020-03-03,India,4,9,0,0
2020-03-04,India,19,28,0,0
2020-03-05,India,1,29,0,0
2020-03-06,India,2,31,0,0
2020-03-07,India,3,34,0,0
2020-03-08,India,5,39,0,0
2020-03-09,India,5,44,0,0
2020-03-10,India,6,50,0,0
2020-03-11,India,10,60,0,0
2020-03-12,India,13,73,0,1
2020-03-13,India,8,81,1,2
2020-03-14,India,3,84,1,2
2020-03-15,India,23,107,0,2
2020-03-16,India,7,114,0,3
2020-03-17,India,23,137,1,3
2020-03-18,India,14,151,0,4
2020-03-19,India,22,173,1,4
2020-03-20,India,50,223,0,4
2020-03-21,India,60,283,0,7
2020-03-22,India,77,360,3,9
2020-03-23,India,74,434,2,9
2020-03-24,India,85,519,0,10
2020-03-25,India,87,606,1,13
2020-03-26,India,43,649,3,17
2020-03-27,India,75,724,4,19
